Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
CA Soper,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,1,55,39*,18.33,73,75.34,0
LV van Beek,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,2,55,29,55,87,63.21,0
CJA Amini,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),4,4,0,54,23,13.5,70,77.14,0
C Campher,"Ireland - The Village, Malahide, Dublin",2,1,0,54,54,54,54,100,0
PWH de Silva,"England - Riverside Ground, Chester-le-Street",1,1,0,54,54,54,65,83.07,0
Naseem Khushi,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,54,27,27,44,122.72,0
Afif Hossain,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,1,53,27*,26.5,48,110.41,0
GJ Delany,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",4,4,3,53,21*,53,47,112.76,0
RR Hendricks,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",2,2,0,52,51,26,61,85.24,0
SD Hope,"West Indies - Kensington Oval, Bridgetown, Barbados",2,2,0,52,38,26,78,66.66,0
HG Munsey,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,1,52,27*,52,75,69.33,0
RD Berrington,"Netherlands - Hazelaarweg, Rotterdam",2,2,0,51,41,25.5,71,71.83,0
GH Dockrell,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,2,0,51,40,25.5,107,47.66,0
Mohammad Mithun,Zimbabwe - Harare Sports Club,3,3,0,51,30,17,79,64.55,0
Shakib Al Hasan,"Bangladesh - Zahur Ahmed Chowdhury Stadium, Chattogram",1,1,0,51,51,51,81,62.96,0
WA Agar,"West Indies - Kensington Oval, Bridgetown, Barbados",2,2,0,50,41,25,42,119.04,0
MA Agarwal,Australia - Sydney Cricket Ground,2,2,0,50,28,25,44,113.63,0
J Kila,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),4,4,0,50,36,12.5,79,63.29,0
DA Miller,"South Africa - SuperSport Park, Centurion",1,1,0,50,50,50,56,89.28,0
N Pooran,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,2,1,50,35*,50,46,108.69,0
AJ Turner,"West Indies - Kensington Oval, Bridgetown, Barbados",3,2,0,50,49,25,49,102.04,0
T van der Gugten,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,2,0,50,49,25,61,81.96,0
RA Jadeja,Australia - Sydney Cricket Ground,2,2,0,49,25,24.5,48,102.08,0
G Singh,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1,1,0,48,48,48,48,100,0
A Zampa,"West Indies - Kensington Oval, Bridgetown, Barbados",3,2,1,48,36,48,69,69.56,0
Fakhar Zaman,"England - Sophia Gardens, Cardiff",1,1,0,47,47,47,67,70.14,0
SJ Myburgh,"Netherlands - Hazelaarweg, Rotterdam",2,2,0,47,40,23.5,83,56.62,0
R Powell,"Bangladesh - Zahur Ahmed Chowdhury Stadium, Chattogram",1,1,0,47,47,47,49,95.91,0
MD Shanaka,"England - Kennington Oval, London",1,1,0,47,47,47,67,70.14,0
A Balbirnie,"Ireland - Civil Service Cricket Club, Stormont, Belfast",2,2,0,46,34,23,63,73.01,0
SV Samson,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",1,1,0,46,46,46,46,100,0
TP Ura,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3,3,0,46,19,15.33,87,52.87,0
SJ Modani,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,0,45,20,11.25,78,57.69,0
DE Budge,"Netherlands - Hazelaarweg, Rotterdam",2,2,1,44,40*,44,66,66.66,0
CR Ervine,Pakistan - Rawalpindi Cricket Stadium,2,2,0,44,41,22,81,54.32,0
Abid Ali,Pakistan - Rawalpindi Cricket Stadium,2,2,0,43,22,21.5,54,79.62,0
JM Bairstow,"England - Riverside Ground, Chester-le-Street",1,1,0,43,43,43,21,204.76,0
Zawar Farid,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",2,2,0,43,28,21.5,52,82.69,0
J Kila,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,2,0,42,24,21,91,46.15,0
Mohammad Rizwan,"South Africa - SuperSport Park, Centurion",2,2,0,42,40,21,59,71.18,0
P Nissanka,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,42,24,14,54,77.77,0
Zeeshan Maqsood,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,42,26,21,58,72.41,0
RK Paudel,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1,1,0,41,41,41,65,63.07,0
L Gregory,"England - Lord's, London",1,1,0,40,40,40,47,85.1,0
SS Iyer,Australia - Sydney Cricket Ground,2,2,0,40,38,20,38,105.26,0
KR Mayers,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",2,2,0,40,40,20,65,61.53,0
G Toka,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),3,3,0,40,22,13.33,62,64.51,0
Z Crawley,"England - Edgbaston, Birmingham",1,1,0,39,39,39,34,114.7,0
Kaleemullah,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,1,39,20,39,20,195,0
AR McBrine,"Ireland - The Village, Malahide, Dublin",2,2,0,39,30,19.5,57,68.42,0
AK Markram,"South Africa - The Wanderers Stadium, Johannesburg",1,1,0,39,39,39,34,114.7,0
D Ravu,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),3,3,0,39,32,13,61,63.93,0
I Udana,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",2,2,1,39,21,39,40,97.5,0
AT Carey,"Australia - Manuka Oval, Canberra",1,1,0,38,38,38,42,90.47,0
Gulbadin Naib,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,2,0,38,36,19,56,67.85,0
MJ Guptill,"New Zealand - University Oval, Dunedin",1,1,0,38,38,38,19,200,0
